Branch ID,Branch,Address,Latitude,Longitude
EPLWOO,Woodcroft (Westmount),13420 - 114 Avenue,53.563755500000006,-113.55386429999999
EPLRIV,Riverbend,"460 Riverbend Square, Rabbit Hill Road & Terwillegar Drive",53.468394200000006,-113.5837689
EPLESQ,Enterprise Square (Downtown),10212 Jasper Avenue NW,53.541194,-113.496835
EPLJPL,Jasper Place,9010 - 156 Street,53.52322589999999,-113.59039969999999
EPLLHL,Lois Hole (Callingwood),17650 69 Avenue,53.503770499999995,-113.6260742
EPLHIG,Highlands,6710 - 118 Avenue,53.57058000000001,-113.44505
EPLMEA,Meadows,2702 - 17 Street,53.457502000000005,-113.37038899999999
EPLABB,Abbottsfield - Penny McKee,3410 - 118 Avenue,53.5704509,-113.3915179
EPLSPW,Sprucewood,11555 - 95 Street,53.5666547,-113.48717409999999
EPLSTR,Strathcona,8331 - 104 Street,53.5194554,-113.4974797
EPLWHP,West Henday Promenade (Lewis Estates),"818 Webber Greens Drive, West Henday Promenade",53.52349,-113.667354
EPLCSD,Castle Downs,"106 Lakeside Landing, 15379 Castle Downs Rd",53.6157356,-113.51663329999998
EPLCLV,Clareview,3808 - 139 Avenue,53.601302000000004,-113.40176899999999
EPLLON,Londonderry,"Suite 166, 1 Londonderry Mall NW",53.603432,-113.445778
EPLCPL,Capilano,9915 - 67 Street,53.5378963,-113.41992690000001
EPLMCN,McConachie,16607 - 50 Street,53.62794,-113.41127900000001
EPLIDY,Idylwylde (Bonnie Doon),8310 88 Avenue,53.5235044,-113.4593749
EPLWMC,Whitemud Crossing,"145 Whitemud Crossing Shopping Centre, 4211 - 106 Street",53.4794861,-113.5041223
EPLHVY,Heritage Valley,2755-119A Street SW,53.40748000000001,-113.53756899999999
EPLMLW,Mill Woods,2610 Hewes Way,53.4554447,-113.43437970000001
EPLCAL,Calder,12710 - 131 Avenue NW,53.590515,-113.542369
EPLGMU,,,53.547389,113.505425
